"";"tailnum";"year";"type";"manufacturer";"model";"engines";"seats";"speed";"engine"
"1925";"N449AN";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1926";"N449UA";1998;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1927";"N449WN";2003;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1928";"N450AN";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1929";"N450WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1930";"N451AN";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1931";"N451UA";1998;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1932";"N451WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1933";"N452AN";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1934";"N452UA";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1935";"N452WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1936";"N453AA";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1937";"N453AS";2014;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"1938";"N453UA";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1939";"N453WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1940";"N45440";2009;"Fixed wing multi engine";"BOEING";"737-924ER";2;191;0;"Turbo-fan"
"1941";"N454AL";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1942";"N454UA";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1943";"N454WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1944";"N455AN";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1945";"N455UA";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1946";"N455WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1947";"N456AN";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1948";"N456UA";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1949";"N456WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1950";"N457AM";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1951";"N457AS";2014;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"1952";"N457UA";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1953";"N457WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1954";"N458AL";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1955";"N458UA";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1956";"N458WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1957";"N45905";2012;"Fixed wing multi engine";"BOEING";"787-8";2;260;0;"Turbo-fan"
"1958";"N45956";2015;"Fixed wing multi engine";"BOEING";"787-9";2;422;0;"Turbo-fan"
"1959";"N459AN";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1960";"N459AS";2014;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"1961";"N459UA";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1962";"N459WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1963";"N460AN";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1964";"N460UA";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1965";"N460WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1966";"N461AN";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1967";"N461AS";2014;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"1968";"N461UA";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1969";"N461WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1970";"N462AA";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1971";"N462AS";2014;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"1972";"N462UA";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1973";"N462WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1974";"N463AA";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1975";"N463UA";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1976";"N463WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1977";"N464AA";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1978";"N464AS";2014;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"1979";"N464UA";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1980";"N464WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1981";"N465AN";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1982";"N465UA";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1983";"N465WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1984";"N466AN";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1985";"N466UA";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1986";"N467AL";2022;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1987";"N467AS";2014;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"1988";"N467UA";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1989";"N467WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1990";"N468AN";2023;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1991";"N468AS";2014;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"1992";"N468UA";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1993";"N468WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1994";"N469AN";2023;"Fixed wing multi engine";"AIRBUS";"A321-253NX";2;222;0;"Turbo-fan"
"1995";"N469AS";2014;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"1996";"N469UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1997";"N469WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"1998";"N470UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"1999";"N470WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2000";"N471AS";2014;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"2001";"N471UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2002";"N47275";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"2003";"N47280";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"2004";"N47281";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"2005";"N47282";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"2006";"N47284";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"2007";"N47288";2022;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"2008";"N47291";2023;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"2009";"N47293";2023;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"2010";"N472AS";2015;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"2011";"N472UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2012";"N472WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2013";"N47340";2023;"Fixed wing multi engine";"BOEING";"737-8";2;185;0;"Turbo-fan"
"2014";"N473UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2015";"N473WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2016";"N47414";2008;"Fixed wing multi engine";"BOEING";"737-924ER";2;191;0;"Turbo-fan"
"2017";"N474AS";2015;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"2018";"N474UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2019";"N474WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2020";"N47505";2018;"Fixed wing multi engine";"BOEING";"737-9";2;48;0;"Turbo-fan"
"2021";"N47512";2019;"Fixed wing multi engine";"BOEING";"737-9";2;48;0;"Turbo-fan"
"2022";"N47517";2020;"Fixed wing multi engine";"BOEING";"737-9";2;48;0;"Turbo-fan"
"2023";"N47524";2020;"Fixed wing multi engine";"BOEING";"737-9";2;48;0;"Turbo-fan"
"2024";"N47533";2022;"Fixed wing multi engine";"BOEING";"737-9";2;48;0;"Turbo-fan"
"2025";"N475UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2026";"N475WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2027";"N476UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2028";"N476WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2029";"N477AS";2015;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"2030";"N477UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2031";"N477WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2032";"N478AS";2015;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"2033";"N478PX";2019;"Fixed wing multi engine";"BOMBARDIER INC";"CL-600-2D24";2;95;0;"Turbo-fan"
"2034";"N478UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2035";"N478WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2036";"N479AS";2015;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"2037";"N479PX";2019;"Fixed wing multi engine";"BOMBARDIER INC";"CL-600-2D24";2;95;0;"Turbo-fan"
"2038";"N479UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2039";"N479WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2040";"N480PX";2020;"Fixed wing multi engine";"BOMBARDIER INC";"CL-600-2D24";2;95;0;"Turbo-fan"
"2041";"N480UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2042";"N480WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2043";"N48127";1998;"Fixed wing multi engine";"BOEING";"757-224";2;178;0;"Turbo-fan"
"2044";"N481AS";2015;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"2045";"N481UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2046";"N481WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2047";"N482PX";2020;"Fixed wing multi engine";"BOMBARDIER INC";"CL-600-2D24";2;95;0;"Turbo-fan"
"2048";"N482UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2049";"N482WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2050";"N483AS";2015;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"2051";"N483UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2052";"N483WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2053";"N484UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2054";"N484WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2055";"N485PX";2020;"Fixed wing multi engine";"BOMBARDIER INC";"CL-600-2D24";2;95;0;"Turbo-fan"
"2056";"N485UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2057";"N485WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2058";"N486AS";2015;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"2059";"N486UA";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2060";"N486WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2061";"N487AS";2015;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"2062";"N487UA";2002;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2063";"N487WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2064";"N4888U";2007;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2065";"N488UA";2002;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2066";"N488WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2067";"N489UA";2002;"Fixed wing multi engine";"AIRBUS";"A320-232";2;200;0;"Turbo-fan"
"2068";"N489WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2069";"N4901U";2006;"Fixed wing multi engine";"AIRBUS";"A320-232";2;200;0;"Turbo-fan"
"2070";"N490PX";2020;"Fixed wing multi engine";"BOMBARDIER INC";"CL-600-2D24";2;95;0;"Turbo-fan"
"2071";"N490UA";2002;"Fixed wing multi engine";"AIRBUS";"A320-232";2;200;0;"Turbo-fan"
"2072";"N490WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2073";"N491AS";2015;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"2074";"N491PX";2020;"Fixed wing multi engine";"BOMBARDIER INC";"CL-600-2D24";2;95;0;"Turbo-fan"
"2075";"N491UA";2002;"Fixed wing multi engine";"AIRBUS";"A320-232";2;200;0;"Turbo-fan"
"2076";"N491WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2077";"N492AS";2015;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"2078";"N492UA";2002;"Fixed wing multi engine";"AIRBUS";"A320-232";2;200;0;"Turbo-fan"
"2079";"N492WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2080";"N493AS";2016;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"2081";"N493UA";2002;"Fixed wing multi engine";"AIRBUS";"A320-232";2;200;0;"Turbo-fan"
"2082";"N493WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2083";"N494AS";2016;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"2084";"N494UA";2002;"Fixed wing multi engine";"AIRBUS";"A320-232";2;200;0;"Turbo-fan"
"2085";"N494WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2086";"N495AS";2016;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"2087";"N495UA";2002;"Fixed wing multi engine";"AIRBUS";"A320-232";2;200;0;"Turbo-fan"
"2088";"N495WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2089";"N496UA";2002;"Fixed wing multi engine";"AIRBUS";"A320-232";2;200;0;"Turbo-fan"
"2090";"N496WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2091";"N497UA";2002;"Fixed wing multi engine";"AIRBUS";"A320-232";2;200;0;"Turbo-fan"
"2092";"N497WN";2004;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2093";"N498UA";2002;"Fixed wing multi engine";"AIRBUS";"A320-232";2;200;0;"Turbo-fan"
"2094";"N498WN";2005;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2095";"N499WN";2005;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"2096";"N5007E";2013;"Fixed wing multi engine";"AIRBUS";"A319-115";2;147;0;"Turbo-fan"
"2097";"N500WR";2014;"Fixed wing multi engine";"BOEING";"737-8H4";2;140;0;"Turbo-fan"
"2098";"N501DA";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2099";"N502DX";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2100";"N503DZ";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2101";"N503JB";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2102";"N503NK";NA;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2103";"N504DZ";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2104";"N504JB";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2105";"N504NK";2005;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2106";"N505DZ";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2107";"N505JB";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2108";"N505NK";2005;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2109";"N506AS";2008;"Fixed wing multi engine";"BOEING";"737-890";2;149;0;"Turbo-fan"
"2110";"N506DA";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2111";"N506JB";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2112";"N506NK";2005;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2113";"N507AY";2008;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"2114";"N507DZ";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2115";"N507JT";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2116";"N507NK";2005;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2117";"N508AS";2008;"Fixed wing multi engine";"BOEING";"737-890";2;149;0;"Turbo-fan"
"2118";"N508AY";2008;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"2119";"N508DA";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2120";"N508JL";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2121";"N508NK";2005;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2122";"N509AY";2009;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"2123";"N509DT";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2124";"N509JB";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2125";"N509NK";2005;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2126";"N510DE";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2127";"N510JB";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2128";"N510NK";2005;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2129";"N510UW";2009;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"2130";"N511DE";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2131";"N512AS";2008;"Fixed wing multi engine";"BOEING";"737-890";2;149;0;"Turbo-fan"
"2132";"N512DE";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2133";"N512NK";2006;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2134";"N513AS";2008;"Fixed wing multi engine";"BOEING";"737-890";2;149;0;"Turbo-fan"
"2135";"N513DA";NA;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2136";"N514AS";2008;"Fixed wing multi engine";"BOEING";"737-890";2;149;0;"Turbo-fan"
"2137";"N514DE";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2138";"N514NK";2006;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2139";"N515DE";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2140";"N515NK";2006;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2141";"N516AS";2008;"Fixed wing multi engine";"BOEING";"737-890";2;149;0;"Turbo-fan"
"2142";"N516DA";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2143";"N516JB";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2144";"N516NK";2006;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2145";"N517AS";2008;"Fixed wing multi engine";"BOEING";"737-890";2;149;0;"Turbo-fan"
"2146";"N517DN";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2147";"N517JB";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2148";"N517NK";2006;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2149";"N518AS";2009;"Fixed wing multi engine";"BOEING";"737-890";2;149;0;"Turbo-fan"
"2150";"N518DQ";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2151";"N519AS";2009;"Fixed wing multi engine";"BOEING";"737-890";2;149;0;"Turbo-fan"
"2152";"N519DT";2023;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2153";"N519JB";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2154";"N519NK";2006;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2155";"N519UW";2009;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"2156";"N520AS";2009;"Fixed wing multi engine";"BOEING";"737-890";2;149;0;"Turbo-fan"
"2157";"N520DE";2023;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2158";"N520JB";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2159";"N521DT";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2160";"N521JB";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2161";"N521NK";2006;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2162";"N521UW";2009;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"2163";"N522DA";2022;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2164";"N522NK";2006;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2165";"N523AS";2009;"Fixed wing multi engine";"BOEING";"737-890";2;149;0;"Turbo-fan"
"2166";"N523DE";2023;"Fixed wing multi engine";"AIRBUS";"A321-271NX";2;246;0;"Turbo-fan"
"2167";"N523JB";2001;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-232";2;200;0;"Turbo-fan"
"2168";"N523NK";2006;"Fixed wing multi engine";"AIRBUS";"A319-132";2;179;0;"Turbo-fan"
"2169";"N523UW";2009;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"2170";"N524AS";2009;"Fixed wing multi engine";"BOEING";"737-890";2;149;0;"Turbo-fan"
